Ind. Gravidade,Latitude GPS,Longitude GPS
3,40.17249,-8.389735
3,40.207472,-8.400426
3,40.12868,-8.471128
3,40.239446,-8.466959
3,40.217173,-8.410093
3,40.206962,-8.429859
3,40.205033,-8.401093
3,40.17284,-8.386672
3,40.215202,-8.431082
6,40.2446,-8.488617
3,40.222269,-8.439459
3,40.194685,-8.409135
3,40.211572,-8.427496
3,40.2454,-8.363492
3,40.230568,-8.429068
3,40.201977,-8.399828
3,40.2684,-8.430569
3,40.214818,-8.424044
3,40.17324,-8.439748
3,40.205047,-8.407802
3,40.241007,-8.434487
12,40.218578,-8.4236
3,40.217237,-8.438119
3,40.20298,-8.435451
3,40.213454,-8.425522
6,40.2003,-8.48795
3,40.206945,-8.429477
3,40.199421,-8.466067
3,40.178395,-8.448419
3,40.27469,-8.480417
3,40.221286,-8.439012
3,40.252207,-8.442463
3,40.221695,-8.439652
6,40.18452,-8.552642
3,40.207128,-8.404086
3,40.194034,-8.419032
3,40.28847,-8.446017
3,40.20782,-8.405842
3,40.218732,-8.414214
3,40.219937,-8.468982
3,40.217296,-8.402333
3,40.26246,-8.4414
3,40.20033,-8.501068
6,40.254175,-8.432459
3,40.224161,-8.442041
3,40.227455,-8.439123
3,40.207591,-8.40047
3,40.190743,-8.402907
3,40.195193,-8.405253
3,40.188209,-8.420741
6,40.211523,-8.463911
6,40.20997,-8.459054
10,40.25047,-8.450525
3,40.196502,-8.406243
3,40.17513,-8.379178
3,40.182556,-8.410692
3,40.205057,-8.401068
3,40.206019,-8.463035
6,40.213868,-8.422394
9,40.15976,-8.456742
3,40.2503,-8.564658
3,40.183546,-8.406245
3,40.20182,-8.491166
3,40.253238,-8.434602
3,40.217208,-8.4378
3,40.204946,-8.404712
3,40.17447,-8.402673
3,40.216884,-8.438492
9,40.15299,-8.460041
3,40.238143,-8.438357
3,40.221968,-8.429878
13,40.261041,-8.424571
3,40.20463,-8.400973
3,40.204655,-8.401152
3,40.17719,-8.509254
6,40.253633,-8.442937
3,40.210832,-8.422637
3,40.250399,-8.442617
3,40.211589,-8.429266
3,40.21453,-8.393828
3,40.202017,-8.410263
3,40.254844,-8.429626
3,40.20411,-8.432109
6,40.254342,-8.440006
13,40.27359,-8.493825
3,40.203819,-8.459218
3,40.209195,-8.436218
3,40.206931,-8.429327
6,40.250676,-8.407982
3,40.27735,-8.389778
3,40.235597,-8.409213
3,40.20214,-8.503139
3,40.206885,-8.415464
3,40.223085,-8.42758
3,40.202803,-8.419131
100,40.27594,-8.431653
3,40.231734,-8.428848
3,40.218251,-8.409905
3,40.217675,-8.4372
3,40.220215,-8.437596
3,40.235524,-8.431148
3,40.19754,-8.461899
3,40.223463,-8.438769
3,40.196465,-8.407898
3,40.195837,-8.43099
3,40.22334,-8.409484
3,40.201528,-8.430769
3,40.183638,-8.437468
3,40.202227,-8.424438
3,40.201069,-8.435821
3,40.213056,-8.433444
3,40.207447,-8.400359
3,40.229703,-8.447855
6,40.217105,-8.400256
3,40.203306,-8.419383
9,40.20436,-8.412887
3,40.196071,-8.446764
3,40.238498,-8.461859
10,40.19289,-8.519716
3,40.201695,-8.415674
3,40.22618,-8.436626
3,40.196679,-8.405359
3,40.176091,-8.410876
3,40.192154,-8.415894
3,40.188356,-8.42074
3,40.27489,-8.437253
3,40.197281,-8.402698
3,40.203627,-8.43188
3,40.16999,-8.489857
3,40.25087,-8.453808
3,40.22916,-8.520466
3,40.214075,-8.428267
3,40.18083,-8.389133
3,40.202344,-8.431225
3,40.194596,-8.41252
3,40.223012,-8.442192
6,40.235712,-8.436169
3,40.183287,-8.402767
3,40.25107,-8.516878
9,40.236004,-8.386206
3,40.201172,-8.434355
3,40.227397,-8.4455
3,40.24096,-8.477046
6,40.212275,-8.456599
3,40.21893,-8.555273
3,40.23706,-8.521229
3,40.18338,-8.394091
6,40.201605,-8.410212
3,40.30487,-8.44824
3,40.2058,-8.459454
3,40.237864,-8.43653
3,40.197289,-8.402682
100,40.19302,-8.517623
3,40.13061,-8.47901
3,40.213369,-8.427019
6,40.11567,-8.372604
3,40.212408,-8.433671
6,40.16346,-8.449913
3,40.208958,-8.431317
6,40.23888,-8.567812
3,40.201607,-8.41024
3,40.17983,-8.391661
3,40.22718,-8.529779
100,40.14124,-8.493687
3,40.2264,-8.529736
3,40.206807,-8.463696
10,40.198284,-8.411615
3,40.28862,-8.446056
3,40.224243,-8.404353
3,40.185017,-8.397067
3,40.25457,-8.405254
6,40.216263,-8.41868
3,40.23538,-8.491938
3,40.254496,-8.426876
3,40.205047,-8.407987
3,40.12551,-8.489862
3,40.203303,-8.404173
6,40.20712,-8.429952
3,40.195528,-8.450906
6,40.1733,-8.391763
3,40.20989,-8.419761
3,40.218919,-8.412915
3,40.205025,-8.407971
3,40.221115,-8.411852
3,40.215003,-8.430714
3,40.24094,-8.473656
3,40.207761,-8.405638
3,40.14365,-8.377687
3,40.209023,-8.41904
3,40.20743,-8.400228
3,40.191759,-8.430712
3,40.20356,-8.500199
10,40.2068,-8.472685
3,40.206456,-8.403026
3,40.26355,-8.574336
3,40.24033,-8.482877
6,40.220712,-8.373521
3,40.204457,-8.426164
3,40.210953,-8.415951
3,40.235407,-8.433309
6,40.253477,-8.424942
3,40.227188,-8.437493
3,40.204453,-8.426093
3,40.19775,-8.379661
3,40.25734,-8.405179
3,40.207589,-8.404333
3,40.250716,-8.442768
3,40.252018,-8.425303
6,40.218594,-8.438675
3,40.25055,-8.466811
3,40.196318,-8.461395
3,40.211605,-8.441157
3,40.20932,-8.399331
3,40.199802,-8.476586
3,40.192936,-8.420248
3,40.246044,-8.42976
3,40.29964,-8.4188
3,40.20292,-8.492051
3,40.209045,-8.451866
3,40.199858,-8.435898
3,40.208191,-8.398516
3,40.19516,-8.507098
3,40.16013,-8.430698
3,40.16984,-8.456469
3,40.2363,-8.490812
3,40.238184,-8.438369
3,40.245288,-8.430356
3,40.204914,-8.401326
6,40.216424,-8.438757
3,40.204169,-8.468157
6,40.202776,-8.406146
3,40.213111,-8.46581
3,40.193531,-8.41563
3,40.14613,-8.464156
3,40.25034,-8.47394
3,40.205342,-8.427219
3,40.205629,-8.408979
3,40.201817,-8.41485
3,40.26728,-8.444549
3,40.209024,-8.453761
3,40.183426,-8.415222
3,40.216948,-8.428093
3,40.211699,-8.425227
3,40.217658,-8.472037
3,40.21012,-8.431874
3,40.20081,-8.491257
3,40.192042,-8.467281
3,40.213302,-8.424511
3,40.18668,-8.574861
3,40.27071,-8.452671
3,40.211579,-8.42785
3,40.210564,-8.430028
9,40.27137,-8.482776
3,40.204962,-8.403898
3,40.21094,-8.417786
3,40.28999,-8.44109
3,40.25049,-8.450702
29,40.193901,-8.459577
3,40.179684,-8.424633
3,40.23399,-8.498054
3,40.249422,-8.434032
3,40.202094,-8.431064
3,40.197139,-8.408806
3,40.17221,-8.389242
3,40.196719,-8.413008
3,40.214339,-8.446609
3,40.217435,-8.412427
3,40.21116,-8.415375
6,40.20732,-8.359501
3,40.201051,-8.416857
3,40.21446,-8.446642
3,41.480673,-7.188022
3,40.211578,-8.428457
6,40.204669,-8.471909
3,40.14788,-8.411627
6,40.27435,-8.467943
6,40.208114,-8.466168
3,40.200345,-8.405018
3,40.196741,-8.402664
3,40.19595,-8.431554
3,40.197505,-8.445159
3,40.20292,-8.414749
3,40.201955,-8.414469
3,40.228051,-8.445566
3,40.24286,-8.433292
3,40.20749,-8.400425
3,40.182662,-8.407194
3,40.212433,-8.464712
3,40.210396,-8.421945
3,40.21387,-8.456551
3,40.237423,-8.402143
6,40.21359,-8.433667
3,40.211168,-8.380287
3,40.222419,-8.441931
3,40.221393,-8.411662
3,40.23816,-8.435641
3,40.200856,-8.41788
6,40.217937,-8.437374
9,40.23989,-8.469515
6,40.222987,-8.446509
3,40.220308,-8.409688
3,40.215582,-8.405633
6,40.222361,-8.439432
3,40.19949,-8.440808
3,40.25841,-8.40511
3,40.194484,-8.413048
3,40.210924,-8.427499
3,40.229924,-8.43808
3,40.1949,-8.402615
9,40.203713,-8.459335
3,40.185517,-8.40394
13,40.29171,-8.446169
3,40.245804,-8.408349
3,40.16807,-8.4353
3,40.200508,-8.403702
3,40.183424,-8.403099
3,40.196474,-8.431593
6,40.19271,-8.507039
3,40.16029,-8.417948
3,40.221522,-8.436507
6,40.229247,-8.438331
3,40.22847,-8.524629
3,40.20764,-8.404674
3,40.203761,-8.433104
6,40.1352,-8.4709
9,40.16536,-8.462307
3,40.27468,-8.43721
6,40.198718,-8.410631
6,40.10563,-8.391581
3,40.210297,-8.400401
3,40.1441,-8.465213
3,40.210315,-8.429099
3,40.213264,-8.430889
3,40.25543,-8.404841
3,40.195002,-8.40765
20,40.214481,-8.44678
3,40.193724,-8.405955
3,40.206682,-8.43336
3,40.29075,-8.435268
3,40.193477,-8.403919
6,40.223644,-8.439631
3,40.194614,-8.417584
3,40.202526,-8.46931
3,40.207973,-8.421344
3,40.210677,-8.443997
3,40.27003,-8.438745
3,40.232148,-8.450497
3,40.198829,-8.410825
3,40.214319,-8.412354
3,40.191192,-8.463509
3,40.23734,-8.511025
3,40.22079,-8.429431
3,40.221286,-8.403194
3,40.24973,-8.494896
3,40.17513,-8.383749
100,40.29266,-8.446062
3,40.203173,-8.417886
3,40.22621,-8.52847
6,40.22633,-8.52916
3,40.206894,-8.429121
3,40.210711,-8.432042
3,40.202866,-8.419017
3,40.251166,-8.439317
3,40.212471,-8.403047
3,40.212517,-8.430658
6,40.21612,-8.480676
3,40.197141,-8.455254
3,40.254902,-8.429558
3,40.190378,-8.400146
3,40.211176,-8.39476
3,40.24803,-8.487817
3,40.1748,-8.374983
10,40.21295,-8.39634
3,40.17992,-8.368999
3,40.199994,-8.420255
3,40.210832,-8.419836
3,40.211633,-8.414229
3,40.220238,-8.409703
6,40.194407,-8.394132
3,40.27117,-8.473753
3,40.22194,-8.562083
10,40.207383,-8.437563
3,40.22635,-8.531568
3,40.28598,-8.431106
3,40.200735,-8.403814
3,40.29242,-8.446067
6,40.20052,-8.488376
3,40.20444,-8.488612
3,40.1849,-8.442465
3,40.23791,-8.427092
3,40.19422,-8.505907
3,40.178888,-8.447782
6,40.211559,-8.424025
3,40.17276,-8.390422
3,40.214318,-8.446612
3,40.221599,-8.409608
3,40.193284,-8.404972
3,40.2227,-8.441968
3,40.211284,-8.42097
3,40.210287,-8.431868
6,40.20066,-8.409527
3,40.25179,-8.425052
9,40.1818,-8.549997
3,40.184303,-8.405182
3,40.11619,-8.389678
3,40.26894,-8.443551
6,40.206944,-8.429476
3,40.227,-8.537879
6,40.19949,-8.371351
3,40.213991,-8.429124
3,40.182754,-8.411335
3,40.218144,-8.437333
3,40.16902,-8.391615
3,40.206886,-8.415471
3,40.202783,-8.405664
3,40.218337,-8.413712
6,40.209986,-8.41987
3,40.199614,-8.403439
6,40.218112,-8.406355
3,40.235879,-8.455316
3,40.17807,-8.3854
3,40.196079,-8.40272
3,40.223169,-8.435722
3,40.215068,-8.4307
3,40.193222,-8.409909
3,40.234728,-8.441458
3,40.203354,-8.434629
3,40.203354,-8.434629
3,40.24434,-8.480619
6,40.205119,-8.392485
3,40.221334,-8.430369
3,40.18566,-8.537734
3,40.222498,-8.439649
3,40.206583,-8.416611
3,40.23376,-8.499792
3,40.27376,-8.482983
3,40.24949,-8.494792
3,40.207212,-8.420561
3,40.210403,-8.430963
3,40.12627,-8.453167
9,40.190234,-8.401464
12,40.221536,-8.429824
3,40.204222,-8.425755
3,40.206129,-8.430575
3,40.209194,-8.431361
3,40.251327,-8.42568
3,40.221614,-8.42984
10,40.26362,-8.442693
3,40.184449,-8.396719
100,40.23841,-8.487683
3,40.176955,-8.449702
6,40.23221,-8.435624
3,40.30054,-8.417167
3,40.195186,-8.402646
3,40.30011,-8.418633
3,40.29348,-8.430224
3,40.211981,-8.443841
3,40.219403,-8.438757
3,40.197099,-8.410622
3,40.196666,-8.413173
3,40.247719,-8.442553
3,40.210009,-8.420261
6,40.203774,-8.400586
3,40.1785,-8.383767
3,40.197174,-8.462408
3,40.207792,-8.406298
6,40.17399,-8.482647
3,40.1464,-8.410935
3,40.217847,-8.437642
3,40.221536,-8.429824
6,40.214789,-8.464428
3,40.209963,-8.402835
3,40.207071,-8.429653
3,40.219567,-8.431706
10,40.253427,-8.425013
3,40.197147,-8.408606
3,40.197969,-8.444469
3,40.20446,-8.392161
3,40.19221,-8.540819
3,40.194392,-8.410047
6,40.221695,-8.439652
3,40.205084,-8.431434
3,40.223821,-8.439536
3,40.19222,-8.507506
3,40.212842,-8.383838
3,40.19904,-8.460308
3,40.22049,-8.429298
3,40.214637,-8.446041
6,40.17943,-8.447423
3,40.217296,-8.402333
3,40.204222,-8.425755
3,40.223576,-8.43949
3,40.208718,-8.418722
3,40.198691,-8.411663
3,40.216045,-8.438772
3,40.197156,-8.412033
3,40.15984,-8.437194
3,40.165182,-8.407777
3,40.20688,-8.363653
3,40.17533,-8.381109
3,40.212936,-8.431638
3,40.2779,-8.435317
3,40.223087,-8.446374
3,40.213338,-8.433731
3,40.213905,-8.441348
3,40.216403,-8.436614
3,40.27451,-8.443744
3,40.191187,-8.427067
3,40.18184,-8.393447
